frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,none,5.8,0.6998,0.2551,3.590,2.304,3.590
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,icp_d1_i30,3076.8,0.8345,0.2393,2.951,2.184,2.951
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,icp_d2_i30,3695.3,0.9383,0.2428,1.444,1.359,1.444
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,icp_d4_i30,4558.9,0.9711,0.2449,1.155,0.983,1.155
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,gicp_d1_i30,5130.1,0.9760,0.2491,0.700,1.058,0.700
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,gicp_d2_i30,5552.8,0.9758,0.2503,0.401,1.011,0.401
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,gicp_d4_i30,5324.8,0.9444,0.2466,0.695,2.846,0.695
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,ndt_r1_i30,1814.1,0.8837,0.2532,1.746,2.600,1.746
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,ndt_r2_i30,2264.2,0.9754,0.2488,0.754,0.930,0.754
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,733.4,439.3,ndt_r3_i30,2109.6,0.9749,0.2469,0.721,0.877,0.721
