frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,623.4,430.5,icp_d6_i30,3962.9,0.9725,0.2450,1.106,0.979,1.106
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,623.4,430.5,icp_d4_i60,8038.0,0.9759,0.2479,0.617,1.236,0.617
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,623.4,430.5,gicp_d6_i30,5474.1,0.9449,0.2468,0.693,2.764,0.693
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,623.4,430.5,gicp_d4_i60,10424.9,0.9442,0.2469,0.701,2.785,0.701
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,623.4,430.5,ndt_r4_i30,1995.9,0.9743,0.2440,0.766,0.795,0.766
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,623.4,430.5,ndt_r3_i60,3919.2,0.9765,0.2459,0.067,0.985,0.067
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,473.9,379.0,icp_d6_i30,4065.3,0.9587,0.2450,0.890,1.128,0.890
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,473.9,379.0,icp_d4_i60,6422.7,0.9649,0.2478,0.944,0.619,0.944
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,473.9,379.0,gicp_d6_i30,5075.8,0.9637,0.2491,0.208,0.344,0.208
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,473.9,379.0,gicp_d4_i60,9210.8,0.9637,0.2488,0.228,0.417,0.228
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,473.9,379.0,ndt_r4_i30,2118.1,0.9648,0.2433,0.419,0.545,0.419
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,473.9,379.0,ndt_r3_i60,2060.5,0.9644,0.2452,0.220,0.514,0.220
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,451.8,375.3,icp_d6_i30,3617.9,0.9817,0.2466,0.246,0.667,0.246
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,451.8,375.3,icp_d4_i60,5363.4,0.9821,0.2510,0.342,0.253,0.085
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,451.8,375.3,gicp_d6_i30,5156.5,0.9817,0.2491,0.160,0.371,0.160
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,451.8,375.3,gicp_d4_i60,7676.1,0.9817,0.2491,0.163,0.362,0.163
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,451.8,375.3,ndt_r4_i30,2180.8,0.9819,0.2464,0.131,0.483,0.131
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,451.8,375.3,ndt_r3_i60,3509.5,0.9821,0.2466,0.210,0.483,0.112
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,560.4,521.9,icp_d6_i30,4586.9,0.9817,0.2436,0.291,1.135,0.291
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,560.4,521.9,icp_d4_i60,7366.7,0.9828,0.2469,0.408,0.576,0.304
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,560.4,521.9,gicp_d6_i30,4549.5,0.9835,0.2446,0.165,0.742,0.165
