frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,676.8,442.2,none,0,10849,0.0,6.7,0.6998,0.2551,3.590,2.304,3.590
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,676.8,442.2,gicp_plugin,16,10849,0.0,6033.1,0.9759,0.2504,0.391,0.907,0.391
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,676.8,442.2,gicp_d4_i60,16,10849,104.9,10261.1,0.9442,0.2469,0.701,2.785,0.701
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,676.8,442.2,ndt_r3_i120,16,10849,8.0,4899.3,0.9765,0.2459,0.067,0.985,0.067
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,490.9,407.3,none,0,9689,0.0,6.3,0.6631,0.2520,2.889,6.965,2.889
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,490.9,407.3,gicp_plugin,16,9689,0.0,5387.3,0.9634,0.2447,0.406,0.343,0.406
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,490.9,407.3,gicp_d4_i60,16,9689,98.0,10594.5,0.9637,0.2488,0.228,0.417,0.228
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,490.9,407.3,ndt_r3_i120,16,9689,8.6,2161.2,0.9644,0.2452,0.220,0.514,0.220
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,477.8,388.2,none,0,9723,0.0,13.8,0.7562,0.2526,1.402,3.162,1.402
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,477.8,388.2,gicp_plugin,16,9723,0.0,5020.3,0.9819,0.2512,0.352,0.283,0.308
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,477.8,388.2,gicp_d4_i60,16,9723,104.9,7649.7,0.9817,0.2491,0.163,0.362,0.163
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,477.8,388.2,ndt_r3_i120,16,9723,9.1,3527.2,0.9821,0.2466,0.210,0.483,0.112
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,563.5,546.1,none,0,12943,0.0,10.1,0.9490,0.2444,0.380,2.773,0.380
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,563.5,546.1,gicp_plugin,16,12943,0.0,4374.5,0.9835,0.2454,0.181,0.751,0.171
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,563.5,546.1,gicp_d4_i60,16,12943,127.2,5313.1,0.9834,0.2456,0.190,0.740,0.190
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,563.5,546.1,ndt_r3_i120,16,12943,14.7,4516.9,0.9837,0.2399,0.317,0.920,0.317
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,447.6,381.3,none,0,11115,0.0,6.6,0.7716,0.2527,2.442,3.084,1.962
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,447.6,381.3,gicp_plugin,16,11115,0.0,5358.7,0.8889,0.2455,0.098,0.171,0.098
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,447.6,381.3,gicp_d4_i60,16,11115,132.7,7793.6,0.8892,0.2431,0.277,0.141,0.079
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,447.6,381.3,ndt_r3_i120,16,11115,10.5,5559.7,0.8895,0.2428,0.505,0.313,0.323
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,437.2,354.0,none,0,10901,0.0,6.1,0.6743,0.2494,3.733,7.865,3.733
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,437.2,354.0,gicp_plugin,16,10901,0.0,5417.7,0.9563,0.2419,1.320,0.288,1.320
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,437.2,354.0,gicp_d4_i60,16,10901,126.9,10113.0,0.9566,0.2416,1.327,0.323,0.146
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,437.2,354.0,ndt_r3_i120,16,10901,9.8,6346.3,0.9571,0.2397,0.552,0.554,0.552
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,617.8,407.6,none,0,11233,0.0,9.4,0.6627,0.2569,21.335,12.676,1.499
