frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,icp_d4_i120,1,9689,0.0,7333.5,0.9649,0.2478,0.944,0.619,0.944
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,icp_d4_i120_p5000,1,5000,0.0,3249.9,0.9648,0.2478,0.963,0.607,0.963
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,icp_d4_i120_p2000,1,2000,0.0,1532.3,0.9650,0.2467,0.973,0.588,0.973
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,icp_d4_i120_p1000,1,1000,0.0,731.2,0.9645,0.2492,0.908,0.540,0.908
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,gicp_d4_i120,16,9689,113.7,15866.8,0.9637,0.2488,0.226,0.414,0.226
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,gicp_d4_i120_p5000,16,5000,102.9,15261.2,0.9638,0.2489,0.238,0.393,0.238
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,gicp_d4_i120_p2000,16,2000,106.5,17748.8,0.9639,0.2476,0.937,0.692,0.937
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,gicp_d4_i120_p1000,16,1000,108.1,19577.7,0.9636,0.2462,1.149,0.420,1.149
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,ndt_r3_i120,16,9689,7.7,2043.5,0.9644,0.2452,0.220,0.514,0.220
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,ndt_r3_i120_p5000,16,5000,6.6,2101.7,0.9646,0.2446,0.216,0.499,0.216
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,ndt_r3_i120_p2000,16,2000,6.6,1698.2,0.9644,0.2455,0.219,0.558,0.219
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,488.9,382.4,ndt_r3_i120_p1000,16,1000,7.7,1448.1,0.9644,0.2451,0.187,0.517,0.187
