frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,683.0,448.3,gicp_plugin,16,10849,0.0,6362.1,0.9759,0.2504,0.391,0.907,0.391
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,683.0,448.3,gicp_pluginparams_tile,16,10849,118.8,5355.0,0.9760,0.2494,0.695,1.060,0.695
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,683.0,448.3,gicp_tuned_fullmap,16,10849,0.0,10310.1,0.9768,0.2485,0.466,1.050,0.466
78,1566535942355928325,72.00,-144.00,539,230090,10849,71.41,-144.77,-57.89,0.9737,0,0.7028,2.7835,0.9440,10000,4517,10,3.590,683.0,448.3,gicp_tuned_tile,16,10849,102.0,9126.9,0.9551,0.2467,0.633,2.663,0.633
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,467.4,372.8,gicp_plugin,16,9689,0.0,4777.2,0.9634,0.2447,0.406,0.343,0.406
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,467.4,372.8,gicp_pluginparams_tile,16,9689,90.6,4960.7,0.9637,0.2491,0.279,0.384,0.279
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,467.4,372.8,gicp_tuned_fullmap,16,9689,0.0,13323.0,0.9635,0.2446,0.405,0.340,0.405
151,1566535949647802761,48.00,-120.00,528,219318,9689,52.05,-110.55,-63.56,0.9645,1,0.2383,0.4196,0.9638,10000,3326,10,2.889,467.4,372.8,gicp_tuned_tile,16,9689,97.5,12413.9,0.9637,0.2492,0.228,0.409,0.228
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,462.1,380.1,gicp_plugin,16,9723,0.0,4775.5,0.9819,0.2512,0.352,0.283,0.308
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,462.1,380.1,gicp_pluginparams_tile,16,9723,103.4,5091.0,0.9818,0.2499,0.328,0.329,0.199
